Date,Home,Home Score,Away,Away Score,Match,Match_Name
2024-07-17,Inter Miami CF,3,Toronto FC,1,Inter Miami CF vs Toronto FC,Inter Miami CF vs Toronto FC 2024-07-17
2024-07-20,CF Montreal,0,Toronto FC,1,CF Montreal vs Toronto FC,CF Montreal vs Toronto FC 2024-07-20
2024-08-25,Houston Dynamo FC,0,Toronto FC,1,Houston Dynamo FC vs Toronto FC,Houston Dynamo FC vs Toronto FC 2024-08-25
2024-08-31,Toronto FC,1,DC United,3,Toronto FC vs DC United,Toronto FC vs DC United 2024-08-31
2024-07-18,Seattle Sounders FC,2,St. Louis City,0,Seattle Sounders FC vs St. Louis City,Seattle Sounders FC vs St. Louis City 2024-07-18
2024-07-21,Seattle Sounders FC,0,Los Angeles FC,3,Seattle Sounders FC vs Los Angeles FC,Seattle Sounders FC vs Los Angeles FC 2024-07-21
2024-08-24,Minnesota United,2,Seattle Sounders FC,3,Minnesota United vs Seattle Sounders FC,Minnesota United vs Seattle Sounders FC 2024-08-24
2024-09-01,Portland Timbers,1,Seattle Sounders FC,0,Portland Timbers vs Seattle Sounders FC,Portland Timbers vs Seattle Sounders FC 2024-09-01
2024-09-07,Columbus Crew,0,Seattle Sounders FC,4,Columbus Crew vs Seattle Sounders FC,Columbus Crew vs Seattle Sounders FC 2024-09-07
2024-07-13,CF Montreal,1,Atlanta United,0,CF Montreal vs Atlanta United,CF Montreal vs Atlanta United 2024-07-13
2024-07-17,New York Red Bulls,2,CF Montreal,2,New York Red Bulls vs CF Montreal,New York Red Bulls vs CF Montreal 2024-07-17
2024-07-20,CF Montreal,0,Toronto FC,1,CF Montreal vs Toronto FC,CF Montreal vs Toronto FC 2024-07-20
2024-08-24,CF Montreal,0,New England Revolution,5,CF Montreal vs New England Revolution,CF Montreal vs New England Revolution 2024-08-24
2024-08-31,FC Cincinnati,4,CF Montreal,1,FC Cincinnati vs CF Montreal,FC Cincinnati vs CF Montreal 2024-08-31
2024-07-13,Toronto FC,2,Philadelphia Union,1,Toronto FC vs Philadelphia Union,Toronto FC vs Philadelphia Union 2024-07-13
2024-07-17,Philadelphia Union,5,New England Revolution,1,Philadelphia Union vs New England Revolution,Philadelphia Union vs New England Revolution 2024-07-17
2024-07-20,Philadelphia Union,3,Nashville SC,0,Philadelphia Union vs Nashville SC,Philadelphia Union vs Nashville SC 2024-07-20
2024-08-28,Philadelphia Union,0,Columbus Crew,1,Philadelphia Union vs Columbus Crew,Philadelphia Union vs Columbus Crew 2024-08-28
2024-08-31,New York Red Bulls,0,Philadelphia Union,2,New York Red Bulls vs Philadelphia Union,New York Red Bulls vs Philadelphia Union 2024-08-31
2024-07-14,Houston Dynamo FC,1,Minnesota United,1,Houston Dynamo FC vs Minnesota United,Houston Dynamo FC vs Minnesota United 2024-07-14
2024-07-18,Minnesota United,2,DC United,3,Minnesota United vs DC United,Minnesota United vs DC United 2024-07-18
2024-07-21,Minnesota United,2,San Jose Earthquakes,0,Minnesota United vs San Jose Earthquakes,Minnesota United vs San Jose Earthquakes 2024-07-21
2024-08-24,Minnesota United,2,Seattle Sounders FC,3,Minnesota United vs Seattle Sounders FC,Minnesota United vs Seattle Sounders FC 2024-08-24
2024-09-01,San Jose Earthquakes,1,Minnesota United,2,San Jose Earthquakes vs Minnesota United,San Jose Earthquakes vs Minnesota United 2024-09-01
2024-07-13,New England Revolution,1,Orlando City,3,New England Revolution vs Orlando City,New England Revolution vs Orlando City 2024-07-13
2024-07-18,Nashville SC,0,Orlando City,3,Nashville SC vs Orlando City,Nashville SC vs Orlando City 2024-07-18
2024-07-20,Orlando City,1,New York City FC,1,Orlando City vs New York City FC,Orlando City vs New York City FC 2024-07-20
2024-08-25,Sporting Kansas City,3,Orlando City,0,Sporting Kansas City vs Orlando City,Sporting Kansas City vs Orlando City 2024-08-25
2024-08-31,Orlando City,3,Nashville SC,0,Orlando City vs Nashville SC,Orlando City vs Nashville SC 2024-08-31
2024-07-08,Portland Timbers,4,Nashville SC,1,Portland Timbers vs Nashville SC,Portland Timbers vs Nashville SC 2024-07-08
2024-07-14,Portland Timbers,3,Real Salt Lake,0,Portland Timbers vs Real Salt Lake,Portland Timbers vs Real Salt Lake 2024-07-14
2024-07-21,LA Galaxy,3,Portland Timbers,2,LA Galaxy vs Portland Timbers,LA Galaxy vs Portland Timbers 2024-07-21
2024-08-25,Portland Timbers,4,St. Louis City,4,Portland Timbers vs St. Louis City,Portland Timbers vs St. Louis City 2024-08-25
2024-09-01,Portland Timbers,1,Seattle Sounders FC,0,Portland Timbers vs Seattle Sounders FC,Portland Timbers vs Seattle Sounders FC 2024-09-01
2024-07-14,St. Louis City,1,Vancouver Whitecaps,4,St. Louis City vs Vancouver Whitecaps,St. Louis City vs Vancouver Whitecaps 2024-07-14
2024-07-18,Vancouver Whitecaps,2,Sporting Kansas City,1,Vancouver Whitecaps vs Sporting Kansas City,Vancouver Whitecaps vs Sporting Kansas City 2024-07-18
2024-07-21,Vancouver Whitecaps,3,Houston Dynamo FC,4,Vancouver Whitecaps vs Houston Dynamo FC,Vancouver Whitecaps vs Houston Dynamo FC 2024-07-21
2024-09-01,Austin FC,0,Vancouver Whitecaps,1,Austin FC vs Vancouver Whitecaps,Austin FC vs Vancouver Whitecaps 2024-09-01
2024-09-08,Vancouver Whitecaps,0,FC Dallas,0,Vancouver Whitecaps vs FC Dallas,Vancouver Whitecaps vs FC Dallas 2024-09-08
2024-07-14,Chicago Fire FC,0,New York City FC,0,Chicago Fire FC vs New York City FC,Chicago Fire FC vs New York City FC 2024-07-14
2024-07-17,Atlanta United,2,New York City FC,2,Atlanta United vs New York City FC,Atlanta United vs New York City FC 2024-07-17
2024-07-20,Orlando City,1,New York City FC,1,Orlando City vs New York City FC,Orlando City vs New York City FC 2024-07-20
2024-08-24,New York City FC,2,Chicago Fire FC,2,New York City FC vs Chicago Fire FC,New York City FC vs Chicago Fire FC 2024-08-24
2024-08-31,Columbus Crew,4,New York City FC,2,Columbus Crew vs New York City FC,Columbus Crew vs New York City FC 2024-08-31
2024-07-13,FC Cincinnati,1,Charlotte FC,3,FC Cincinnati vs Charlotte FC,FC Cincinnati vs Charlotte FC 2024-07-13
2024-07-17,FC Cincinnati,0,Chicago Fire FC,1,FC Cincinnati vs Chicago Fire FC,FC Cincinnati vs Chicago Fire FC 2024-07-17
2024-07-20,New York Red Bulls,3,FC Cincinnati,1,New York Red Bulls vs FC Cincinnati,New York Red Bulls vs FC Cincinnati 2024-07-20
2024-08-24,Inter Miami CF,2,FC Cincinnati,0,Inter Miami CF vs FC Cincinnati,Inter Miami CF vs FC Cincinnati 2024-08-24
2024-08-31,FC Cincinnati,4,CF Montreal,1,FC Cincinnati vs CF Montreal,FC Cincinnati vs CF Montreal 2024-08-31
2024-07-13,CF Montreal,1,Atlanta United,0,CF Montreal vs Atlanta United,CF Montreal vs Atlanta United 2024-07-13
2024-07-17,Atlanta United,2,New York City FC,2,Atlanta United vs New York City FC,Atlanta United vs New York City FC 2024-07-17
2024-07-20,Atlanta United,2,Columbus Crew,1,Atlanta United vs Columbus Crew,Atlanta United vs Columbus Crew 2024-07-20
2024-08-25,LA Galaxy,2,Atlanta United,0,LA Galaxy vs Atlanta United,LA Galaxy vs Atlanta United 2024-08-25
2024-08-31,Charlotte FC,0,Atlanta United,1,Charlotte FC vs Atlanta United,Charlotte FC vs Atlanta United 2024-08-31
2024-07-14,Los Angeles FC,1,Columbus Crew,5,Los Angeles FC vs Columbus Crew,Los Angeles FC vs Columbus Crew 2024-07-14
2024-07-18,Los Angeles FC,1,Real Salt Lake,1,Los Angeles FC vs Real Salt Lake,Los Angeles FC vs Real Salt Lake 2024-07-18
2024-07-21,Seattle Sounders FC,0,Los Angeles FC,3,Seattle Sounders FC vs Los Angeles FC,Seattle Sounders FC vs Los Angeles FC 2024-07-21
2024-09-01,Los Angeles FC,0,Houston Dynamo FC,2,Los Angeles FC vs Houston Dynamo FC,Los Angeles FC vs Houston Dynamo FC 2024-09-01
2024-09-08,Houston Dynamo FC,0,Los Angeles FC,0,Houston Dynamo FC vs Los Angeles FC,Houston Dynamo FC vs Los Angeles FC 2024-09-08
2024-07-13,DC United,2,Nashville SC,1,DC United vs Nashville SC,DC United vs Nashville SC 2024-07-13
2024-07-18,Nashville SC,0,Orlando City,3,Nashville SC vs Orlando City,Nashville SC vs Orlando City 2024-07-18
2024-07-20,Philadelphia Union,3,Nashville SC,0,Philadelphia Union vs Nashville SC,Philadelphia Union vs Nashville SC 2024-07-20
2024-08-25,Nashville SC,0,Austin FC,2,Nashville SC vs Austin FC,Nashville SC vs Austin FC 2024-08-25
2024-08-31,Orlando City,3,Nashville SC,0,Orlando City vs Nashville SC,Orlando City vs Nashville SC 2024-08-31
2024-07-06,FC Cincinnati,6,Inter Miami CF,1,FC Cincinnati vs Inter Miami CF,FC Cincinnati vs Inter Miami CF 2024-07-06
2024-07-17,Inter Miami CF,3,Toronto FC,1,Inter Miami CF vs Toronto FC,Inter Miami CF vs Toronto FC 2024-07-17
2024-07-20,Inter Miami CF,2,Chicago Fire FC,1,Inter Miami CF vs Chicago Fire FC,Inter Miami CF vs Chicago Fire FC 2024-07-20
2024-08-24,Inter Miami CF,2,FC Cincinnati,0,Inter Miami CF vs FC Cincinnati,Inter Miami CF vs FC Cincinnati 2024-08-24
2024-09-01,Chicago Fire FC,1,Inter Miami CF,4,Chicago Fire FC vs Inter Miami CF,Chicago Fire FC vs Inter Miami CF 2024-09-01
2024-07-14,Austin FC,0,Seattle Sounders FC,1,Austin FC vs Seattle Sounders FC,Austin FC vs Seattle Sounders FC 2024-07-14
2024-07-18,FC Dallas,3,Austin FC,1,FC Dallas vs Austin FC,FC Dallas vs Austin FC 2024-07-18
2024-07-21,Austin FC,2,Charlotte FC,2,Austin FC vs Charlotte FC,Austin FC vs Charlotte FC 2024-07-21
2024-08-25,Nashville SC,0,Austin FC,2,Nashville SC vs Austin FC,Nashville SC vs Austin FC 2024-08-25
2024-09-01,Austin FC,0,Vancouver Whitecaps,1,Austin FC vs Vancouver Whitecaps,Austin FC vs Vancouver Whitecaps 2024-09-01
2024-07-13,FC Cincinnati,1,Charlotte FC,3,FC Cincinnati vs Charlotte FC,FC Cincinnati vs Charlotte FC 2024-07-13
2024-07-17,Columbus Crew,1,Charlotte FC,1,Columbus Crew vs Charlotte FC,Columbus Crew vs Charlotte FC 2024-07-17
2024-07-21,Austin FC,2,Charlotte FC,2,Austin FC vs Charlotte FC,Austin FC vs Charlotte FC 2024-07-21
2024-08-24,Charlotte FC,1,New York Red Bulls,1,Charlotte FC vs New York Red Bulls,Charlotte FC vs New York Red Bulls 2024-08-24
2024-08-31,Charlotte FC,0,Atlanta United,1,Charlotte FC vs Atlanta United,Charlotte FC vs Atlanta United 2024-08-31
2024-07-18,Seattle Sounders FC,2,St. Louis City,0,Seattle Sounders FC vs St. Louis City,Seattle Sounders FC vs St. Louis City 2024-07-18
2024-07-21,Sporting Kansas City,1,St. Louis City,1,Sporting Kansas City vs St. Louis City,Sporting Kansas City vs St. Louis City 2024-07-21
2024-08-25,Portland Timbers,4,St. Louis City,4,Portland Timbers vs St. Louis City,Portland Timbers vs St. Louis City 2024-08-25
2024-09-01,St. Louis City,2,LA Galaxy,1,St. Louis City vs LA Galaxy,St. Louis City vs LA Galaxy 2024-09-01
2024-09-07,New England Revolution,2,St. Louis City,2,New England Revolution vs St. Louis City,New England Revolution vs St. Louis City 2024-09-07
